Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,Points/£M,Elite%
Gündoğan,MID,6.5,51,2.6,2.5,2.1,2.0,1.5,10.7,0.33,0.2%
Dalot,DEF,4.5,62,1.9,2.3,3.0,1.5,2.2,10.7,0.48,2.5%
Longstaff,MID,5.0,61,2.3,2.0,2.1,2.1,2.3,10.7,0.43,0.3%
Cherki,MID,6.5,37,2.4,2.3,2.1,2.4,1.5,10.7,0.33,7.9%
Doku,MID,6.5,43,2.5,2.4,2.0,2.3,1.6,10.7,0.33,1.1%
Gittens,MID,6.5,41,2.6,2.1,2.1,1.9,1.9,10.7,0.33,0.3%
Dunk,DEF,4.5,66,2.7,2.2,1.7,2.0,2.0,10.7,0.47,1.1%
Adams,MID,5.0,83,2.8,3.1,1.5,1.6,1.6,10.6,0.42,0.2%
J.Timber,DEF,5.5,47,1.9,2.3,1.5,2.6,2.2,10.6,0.38,2.3%
Fofana,DEF,4.5,35,1.5,1.7,2.4,2.5,2.3,10.5,0.47,0.3%
White,DEF,5.5,62,2.6,2.8,1.3,2.2,1.6,10.5,0.38,0.8%
Smith,DEF,4.5,67,1.4,2.8,1.9,2.2,2.0,10.4,0.46,0.2%
Maatsen,DEF,4.5,47,2.0,1.9,2.1,2.0,2.3,10.4,0.46,0.9%
Sangaré,MID,5.0,51,2.1,2.0,2.2,1.9,2.1,10.3,0.41,0.1%
Tanaka,MID,5.0,63,2.2,1.9,2.0,2.0,2.0,10.3,0.41,0.3%
Yates,MID,5.0,46,2.0,1.8,2.4,1.8,2.2,10.2,0.41,0.2%
Richarlison,FWD,6.5,40,2.7,1.7,2.0,2.0,1.7,10.1,0.31,1.1%
Kayode,DEF,4.5,64,2.3,2.1,2.3,1.7,1.6,10.1,0.45,0.2%
Broja,FWD,5.5,26,1.1,2.4,2.1,2.0,2.4,10.0,0.36,0.0%
Ayari,MID,5.0,51,2.4,1.9,1.9,1.8,2.0,9.9,0.40,0.2%
J.Palhinha,MID,5.5,34,1.4,1.6,2.4,2.2,2.3,9.9,0.36,0.3%
Ampadu,MID,5.0,67,2.3,1.8,1.9,1.9,2.0,9.9,0.40,0.1%
J.Murphy,MID,6.5,46,2.2,1.8,1.9,2.1,1.8,9.8,0.30,2.9%
Sadiki,MID,5.0,51,2.0,1.9,2.0,1.9,1.9,9.8,0.39,0.1%
Wilson,FWD,6.0,29,1.9,1.8,1.8,2.1,2.1,9.8,0.33,0.4%
Estêvão,MID,6.5,34,2.0,1.8,1.9,1.9,2.1,9.7,0.30,1.7%
Trossard,MID,7.0,18,0.9,2.2,1.9,2.5,2.1,9.6,0.28,1.2%
Rodrigo,MID,6.5,8,0.2,1.0,2.1,3.2,3.1,9.5,0.29,1.1%
Bijol,DEF,4.0,0,0.0,2.0,2.4,2.4,2.6,9.5,0.48,0.1%
Matheus N.,DEF,5.5,46,2.2,2.0,1.7,1.9,1.4,9.3,0.34,0.5%
Odobert,MID,5.5,43,2.5,1.5,2.0,1.7,1.5,9.3,0.34,0.1%
Igor Jesus,FWD,6.0,35,2.0,1.6,2.2,1.5,1.9,9.2,0.31,1.0%
O.Dango,MID,6.0,33,1.5,2.0,1.7,2.0,2.0,9.2,0.31,0.2%
Spence,DEF,4.5,61,2.9,1.1,2.0,1.6,1.5,9.1,0.41,0.6%
Bellegarde,MID,5.5,33,1.5,1.8,2.0,1.7,2.1,9.1,0.33,0.1%
Mainoo,MID,5.0,50,1.8,1.8,2.1,1.6,1.7,9.0,0.36,0.9%
Adama,MID,5.5,34,1.6,2.0,1.6,2.0,1.8,8.9,0.32,0.3%
Udogie,DEF,4.5,56,2.0,1.2,2.1,1.9,1.6,8.9,0.39,4.5%
David Møller Wolfe,DEF,99.9,60,1.5,1.6,2.1,1.5,2.1,8.8,0.02,0.0%
Lerma,MID,5.0,48,1.8,1.8,1.7,1.8,1.8,8.8,0.35,0.1%
Nmecha,FWD,5.0,30,1.8,1.7,1.8,1.7,1.8,8.7,0.35,0.6%
Maguire,DEF,4.5,56,1.9,1.8,2.3,1.3,1.4,8.7,0.39,0.6%
C.Jones,MID,5.5,47,2.4,1.2,1.4,1.8,1.8,8.7,0.32,0.1%
Fer López,MID,5.5,29,1.4,1.6,1.9,1.7,2.0,8.7,0.32,0.1%
Ugarte,MID,5.0,41,1.6,2.0,1.7,1.6,1.7,8.6,0.35,0.2%
Cook,MID,5.0,0,0.0,0.0,2.9,2.8,2.9,8.6,0.34,0.0%
O'Riley,MID,5.5,35,2.1,1.8,1.5,1.5,1.7,8.6,0.31,0.1%
Walker-Peters,DEF,4.5,41,1.9,1.4,1.7,1.8,1.7,8.5,0.38,0.5%
Wieffer,MID,5.0,37,1.7,1.7,1.5,1.6,1.7,8.2,0.33,0.1%
Onana,MID,5.0,40,1.6,1.6,1.5,1.4,1.9,8.0,0.32,1.6%
Hughes,MID,5.0,49,1.8,1.8,1.5,1.5,1.4,8.0,0.32,0.1%
Jensen,MID,5.0,37,1.7,1.7,1.9,1.5,1.3,8.0,0.32,0.1%
Mosquera,DEF,4.5,35,1.0,1.5,1.8,1.6,2.0,7.9,0.35,0.1%
S.Bueno,DEF,4.5,43,1.2,1.5,1.9,1.4,1.9,7.9,0.35,0.1%
H.Traorè,MID,4.5,47,2.0,1.8,1.2,1.6,1.3,7.9,0.35,0.3%
Madueke,MID,7.0,23,1.4,1.8,1.2,1.8,1.6,7.9,0.22,1.5%
Robinson,DEF,5.0,0,0.0,0.1,0.8,3.7,3.3,7.9,0.31,4.2%
Savinho,MID,7.0,23,1.5,1.7,1.6,1.7,1.4,7.8,0.22,1.9%
Osula,FWD,5.5,59,2.9,1.9,1.4,0.9,0.7,7.8,0.28,0.2%
N.Gonzalez,MID,6.0,56,2.4,2.1,1.6,1.1,0.5,7.7,0.26,0.1%
Bruun Larsen,MID,5.5,31,1.5,1.8,1.4,1.4,1.5,7.6,0.28,0.1%
Delap,FWD,6.5,33,2.3,1.3,1.5,1.4,1.2,7.6,0.23,4.6%
Aaronson,MID,5.5,26,1.4,1.3,1.6,1.5,1.7,7.6,0.27,0.1%
Hinshelwood,MID,5.5,38,1.7,1.2,1.5,1.4,1.6,7.5,0.27,0.2%
Gusto,DEF,5.0,32,1.5,1.4,1.7,1.4,1.4,7.5,0.30,2.0%
Hickey,DEF,4.0,29,1.0,1.3,1.9,1.6,1.6,7.5,0.37,0.6%
Casemiro,MID,5.5,31,1.4,1.3,1.8,1.4,1.5,7.4,0.27,0.2%
Gomez,MID,5.0,28,1.5,1.4,1.3,1.4,1.7,7.3,0.29,0.1%
Roberts,MID,5.5,30,1.6,1.4,1.5,1.3,1.2,7.1,0.26,0.1%
Gruda,MID,5.5,22,1.4,1.4,1.1,1.4,1.6,6.8,0.25,0.1%
Trippier,DEF,5.0,25,1.0,1.0,1.5,1.9,1.4,6.8,0.27,1.7%
