Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,/£M,Elite%
Bryan,MID,5.0,0,0.0,0.0,0.0,0.2,0.4,0.6,0.02,0.1%
Travers,GK,4.5,2,0.1,0.2,0.1,0.0,0.2,0.6,0.02,0.2%
Malacia,DEF,4.0,1,0.1,0.1,0.1,0.1,0.1,0.5,0.03,0.4%
Greenwood,MID,5.0,1,0.1,0.0,0.0,0.1,0.3,0.5,0.02,0.1%
Patterson,GK,4.5,2,0.1,0.1,0.0,0.1,0.2,0.5,0.02,0.4%
Dennis,GK,4.0,0,0.0,0.1,0.1,0.1,0.2,0.5,0.02,0.8%
Scarlett,FWD,4.5,0,0.0,0.1,0.1,0.1,0.1,0.5,0.02,0.8%
Bajcetic,MID,4.5,0,0.0,0.0,0.0,0.2,0.3,0.5,0.02,0.1%
Darlow,GK,4.0,3,0.1,0.1,0.0,0.1,0.2,0.5,0.02,4.6%
Faivre,MID,4.5,0,0.0,0.1,0.2,0.0,0.1,0.4,0.02,0.2%
Kinsky,GK,4.0,1,0.1,0.0,0.1,0.0,0.1,0.4,0.02,3.1%
Johnstone,GK,4.5,0,0.0,0.1,0.1,0.1,0.1,0.4,0.02,0.2%
Collyer,MID,4.5,1,0.1,0.0,0.1,0.1,0.2,0.4,0.02,0.2%
Lecomte,GK,4.0,1,0.0,0.0,0.1,0.2,0.1,0.4,0.02,1.0%
Cirkin,DEF,4.0,0,0.0,0.0,0.0,0.1,0.3,0.4,0.02,0.1%
Obafemi,FWD,4.5,1,0.1,0.1,0.0,0.0,0.2,0.4,0.02,0.5%
Axel Disasi,DEF,99.9,1,0.1,0.1,0.1,0.1,0.1,0.4,0.00,0.0%
O’Reilly,DEF,5.0,0,0.0,0.1,0.1,0.1,0.1,0.4,0.01,0.2%
Godo,MID,4.5,0,0.0,0.0,0.0,0.2,0.2,0.3,0.02,0.1%
Renato Veiga,DEF,99.9,1,0.1,0.0,0.0,0.1,0.1,0.3,0.00,0.0%
Phillips,MID,5.0,1,0.1,0.1,0.1,0.0,0.0,0.3,0.01,0.1%
Emerson,DEF,4.5,0,0.0,0.1,0.1,0.1,0.1,0.3,0.01,0.2%
Ji-soo,DEF,4.0,0,0.0,0.1,0.0,0.1,0.1,0.3,0.01,0.2%
Konak,MID,4.5,1,0.1,0.1,0.1,0.0,0.0,0.2,0.01,0.2%
Gunn,GK,4.0,0,0.0,0.1,0.1,0.1,0.0,0.2,0.01,1.0%
R.Williams,DEF,4.0,1,0.0,0.0,0.0,0.1,0.1,0.2,0.01,0.2%
Huggins,DEF,4.0,1,0.1,0.0,0.0,0.0,0.1,0.2,0.01,0.2%
Amass,DEF,4.0,0,0.0,0.0,0.1,0.1,0.0,0.2,0.01,0.2%
Delcroix,DEF,4.0,1,0.0,0.1,0.0,0.0,0.0,0.2,0.01,0.4%
Armstrong,MID,4.5,0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.3%
Cox,GK,4.0,4,0.1,0.0,0.0,0.0,0.0,0.2,0.01,0.2%
Worrall,DEF,4.0,1,0.0,0.0,0.0,0.0,0.1,0.2,0.01,0.2%
C.Miguel,GK,4.0,0,0.0,0.1,0.0,0.1,0.1,0.2,0.01,0.2%
Hjelde,DEF,4.0,0,0.0,0.0,0.0,0.0,0.1,0.2,0.01,0.0%
Boly,DEF,4.0,0,0.0,0.0,0.0,0.1,0.1,0.1,0.01,0.6%
