Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
Gauci,1,1,0,0,0,0,1,0.1,1.1%
Akinmboni,0,0,0,1,1,0,2,0.1,0.4%
Cox,0,0,0,0,0,1,1,0.1,0.2%
Iling Jr,0,0,0,0,0,1,1,0.0,0.0%
Bentley,0,0,0,0,0,1,1,0.1,1.3%
Andrey Santos,0,0,0,0,1,0,1,0.0,0.4%
A.Murphy,0,0,0,0,0,1,1,0.1,0.8%
Welch,0,0,0,0,0,1,1,0.1,0.2%
Meslier,0,0,0,0,0,1,1,0.0,1.1%
Lascelles,0,0,0,0,0,1,1,0.0,0.1%
Hein,0,0,0,0,0,0,0,0.0,0.6%
Setford,0,0,0,0,0,0,0,0.0,0.2%
Clarke,0,0,0,0,0,0,0,0.0,0.6%
Kacurri,0,0,0,0,0,0,0,0.0,0.3%
Nichols,0,0,0,0,0,0,0,0.0,0.2%
Kabia,0,0,0,0,0,0,0,0.0,0.3%
G.Jesus,0,0,0,0,0,0,0,0.0,0.0%
Marschall,0,0,0,0,0,0,0,0.0,0.1%
Sousa,0,0,0,0,0,0,0,0.0,0.3%
Yasin,0,0,0,0,0,0,0,0.0,0.3%
Barrenechea,0,0,0,0,0,0,0,0.0,0.0%
Dobbin,0,0,0,0,0,0,0,0.0,0.1%
Broggio,0,0,0,0,0,0,0,0.0,0.3%
Dendoncker,0,0,0,0,0,0,0,0.0,0.4%
Jimoh-Aloba,0,0,0,0,0,0,0,0.0,0.1%
Young,0,0,0,0,0,0,0,0.0,0.6%
Dennis,0,0,0,0,0,0,0,0.0,0.7%
McKenna,0,0,0,0,0,0,0,0.0,0.2%
Paulsen,0,0,0,0,0,0,0,0.0,0.2%
Bevan,0,0,0,0,0,0,0,0.0,0.3%
Sadi,0,0,0,0,0,0,0,0.0,0.1%
Silcott-Duberry,0,0,0,0,0,0,0,0.0,0.3%
Enes Ünal,0,0,0,0,0,0,0,0.0,0.0%
Adu-Adjei,0,0,0,0,0,0,0,0.0,0.4%
Balcombe,0,0,0,0,0,0,0,0.0,0.3%
Eyestone,0,0,0,0,0,0,0,0.0,0.1%
Arthur,0,0,0,0,0,0,0,0.0,0.4%
Fredrick,0,0,0,0,0,0,0,0.0,0.2%
Meghoma,0,0,0,0,0,0,0,0.0,0.2%
Onyeka,0,0,0,0,0,0,0,0.0,0.1%
Donovan,0,0,0,0,0,0,0,0.0,0.1%
Peart-Harris,0,0,0,0,0,0,0,0.0,0.1%
